row,Fecha,Abrir,Alto,Bajo,Cierre*,Cierre ajustado**,Volumen
83,2021-11-18,3566.35,3704.2,3561.0,3696.06,3696.06,5703500
84,2021-11-17,3564.72,3587.25,3545.35,3549.0,3549.0,2560300
85,2021-11-16,3539.0,3576.5,3525.15,3540.7,3540.7,2217100
86,2021-11-15,3537.0,3593.88,3525.81,3545.68,3545.68,2929700
87,2021-11-12,3485.0,3540.73,3447.05,3525.15,3525.15,2689400
88,2021-11-11,3513.0,3543.24,3467.47,3472.5,3472.5,2264400
89,2021-11-10,3563.87,3605.45,3463.09,3482.05,3482.05,4027400
90,2021-11-09,3515.25,3593.77,3501.43,3576.23,3576.23,4294900
91,2021-11-08,3523.24,3579.0,3487.86,3488.98,3488.98,3074000
92,2021-11-05,3477.0,3566.25,3476.98,3518.99,3518.99,4997000
93,2021-11-04,3370.0,3498.63,3365.0,3477.0,3477.0,5353000
94,2021-11-03,3309.0,3394.92,3297.52,3384.0,3384.0,3397200
95,2021-11-02,3315.01,3331.12,3283.55,3312.75,3312.75,2627600
96,2021-11-01,3361.8,3375.86,3292.02,3318.11,3318.11,3608900
97,2021-10-29,3300.02,3374.82,3273.32,3372.43,3372.43,6486100
98,2021-10-28,3402.1,3479.0,3386.0,3446.57,3446.57,5708700
99,2021-10-27,3388.0,3437.0,3371.45,3392.49,3392.49,2702200
